id,category,keyword,soundex,language_code,sort_order,is_active
61,amazon_option_sweetness_level,หวานน้อย 50%,"หวานน้อย, หวานน้อย 50, หวาน 50, นอนน้อย, วังน้อย,หมาน้อย,ไม่หวานมาก,ไม่ต้องหวานมาก",th,1,1
59,amazon_option_sweetness_level,หวานปกติ 100%,"หวานปกติ, ปกติ, หวาน 100, หวานร้อย",th,2,1
58,amazon_option_sweetness_level,หวานมาก 125%,"หวานมาก, หวานหวาน, หวานๆ, เพิ่มหวาน, เพิ่มน้ำตาล, เพิ่มไซรัป, หวาน 125",th,3,1
62,amazon_option_sweetness_level,ไม่หวาน 0%,"ไม่หวาน, ไม่ต้องหวาน, ไม่ใส่น้ำเชื่อม, ไม่ใส่น้ำตาล, ไม่ใส่ไซรัป, หวาน 0",th,4,1
63,amazon_option_hot_sweetness_level,ไม่หวาน 0%,"ไม่หวาน, ไม่ต้องหวาน, ไม่ใส่น้ำเชื่อม, ไม่ใส่น้ำตาล, ไม่ใส่ไซรัป, หวาน 0",th,5,1
64,amazon_option_topping,เพิ่มวิปปิ้งครีมถ้วย,".*วิป.*ถ้วย,.*วิป.*กล้วย",th,6,1
65,amazon_option_topping,เพิ่มวิปปิ้งครีม,"วิป,วิก",th,7,1
66,amazon_option_topping,เพิ่มไข่มุกรสผลไม้,.*มุก.*ผลไม้,th,8,1
67,amazon_option_topping,เพิ่มไข่มุกรสโยเกิร์ต,.*มุก.*โยเกิร์ต,th,9,1
47,amazon_product,บานาน่า ช็อคโก้ ปั่น,(บานาน่าช็อค|Banana).*(ปั่น|เย็น),th,10,1
48,amazon_product,บานาน่า ช็อคโก้ เย็น,"บานาน่าช็อคเย็น, กล้วยช็อคเย็น, บานาน่าช็อคโก้เย็น, Banana Shop เย็น, กล้วยช็อคเย็น, กล้วยช็อคโกแลตเย็น, บานาน่าช็อคโกแลตเย็น,ช็อกด้วยเย็น,นาน่าช็อคเย็น,นานาช็อคเย็น",th,11,1
55,amazon_product,ชาไทยนมสด ร้อน,"ชานมร้อน, ชาไทยร้อน, อนุสรณ์, ชาไทยนม.*ร้อน, ชาสีส้มร้อน, อรทัยนมร้อน, ออเจ้าไทยนมสดร้อน",th,12,1
39,amazon_product,นมสดอัญชันคาราเมล เย็น,"นม.*อัญชันคาราเมลเย็น, อัญชันคาราเมลเย็น, ลมมันเย็น, ขนมปังชาเย็น, น้อมบัญเย็น,นม.*อัญชันเย็น",th,13,1
38,amazon_product,นมสดอัญชันคาราเมล ปั่น,"นมอัญชันคาราเมลปั่น, อัญชันคาราเมลปั่น, นม.*อัญชันคาราเมลปั่น, นมอัญชันปั่น, นมอัญชันคาราเมลป่า,อัญชันปั่น",th,14,1
40,amazon_product,นมสดอัญชันคาราเมล ร้อน,"นม.*อัญชันคาราเมลร้อน, อัญชันคาราเมลร้อน, อนุสรณ์ฉันร้อน, นม.*อัญชันร้อน, นม.*คาราเมลอัญชันร้อน",th,15,1
106,amazon_product,บลููพาราไดซ์ โซดา เย็น,"paradise,Paradise,พาราไดซ์",th,16,1
105,amazon_product,ลาเต้โอ้ ปั่น,"ลาเต้โอ้, ลาเต้โถ, ลาเต้โอริโอ้,ลาเต้โอ,กาแฟโอริโอ้,ลาเต้ RO,ลาเต้ Old,ลาเต้ Opal,ลาเต้อาร์ท,ลาซิโอ,ร้านเจ๊โอ,ลาเต้ oo",th,17,1
104,amazon_product,อัฟโฟกาโต้ ทุเรียน เย็น,"อัฟ.*ทุเรียน, ทุเรียนอัฟ, โฟกัสทุเรียน, การ์ตูนทุเรียน, ปั๊บโปเตโต้ทุเรียน, โปรแกรมโต้ทุเรียน, โกโก้ทุเรียน, อัพโฟกัสโอรสทุเรียน, โฟกัสทุเรียน, Magotteaux ทุเรียน, อะโวคาโดทุเรียน, arigato ทุเรียน, foresto ทุเรียน,กาแฟ.*ทุเรียน,Oppo.*ทุเรียน,affogato.*ทุเรียน",th,18,1
103,amazon_product,อัฟโฟกาโต้ นมสด เย็น,"อัฟ.*นม, นม.*อัฟ, Milk Ice Cream, โฟกัสเย็น, การ์ตูนนม, น้องโฟกัสตู้เย็น, โฟกัสเต้านมสดเย็น, โฟกัสนมสดเย็น, sukata นมสดเย็น, การ์ตูนหนุ่ม, อโศกกัสโต้นม,กาแฟ.*ไอ.*นม,Oppo กาโตนม, เอาโกโก้นมสด, เอาโฟกัสโตนมสด,Oppo การ์ตูน,Oppo นม,affogato.*นม,Oppo กาโตว์นม",th,19,1
102,amazon_product,มัจฉะ โกโก้ ลาวา คีโต เย็น,"มัจฉะโกโก้, มัทฉะโกโก้, มัจฉาโกโก้, Massage okinawa กี่ตอน, อมตะโกโก้ลาวากี่ตอน,มัจฉาอมตะ Vigo Lava,ชาเขียวโกโก้,มัจฉา Google,มัทฉะ fuku Lava,มัทซะโกโก้",th,20,1
101,amazon_product,มัจฉะ คีโตเจนิค เย็น,"มัจฉะคีโตเจนิคเย็น, มัจฉะคีโตแกนิคเย็น, มัจฉา ketogenic เย็น, มัจฉา etoile, มาสักกี่เปอร์เซ็นต์, มัสยิดโซนิคเย็น,มัจฉา kito,มัจฉาคีโต,มัจฉะคีโตเจนิค,ito มัทฉะ,ณัชชาคีโต,มัทฉะคีโต,มัจฉา ketogenic,พัดชา ketogenic,เมื่อเช้าขี้โต,วัดผักชีโต,คีโต.*มัทฉะ,keto.*มัทฉะ,Massage",th,21,1
