clinic_code,clinic_name,symptoms,symptom_code,main_symptom,eng_clinic
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เยี่ยวขัดเป็นมาประมาณ 2 ชั่วโมงก่อนมาพบแพทย์","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ฉี่ขัด","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ฉี่ไม่ออก","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ราวๆ 9 เดือนนี้มีอาการเยี่ยวลำบาก","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปัสสาวะขัด","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ฉี่ขัดราวๆ 5 เดือนมาโรงพยาบาล","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เยี่ยวไม่ออกน่าจะราวๆ 6 อาทิตย์ก่อนมาพบแพทย์","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","3 อาทิตย์มีอาการเยี่ยวลำบาก","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ประมาณ 1 วันนี้มีอาการฉี่ไม่ออก","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปัสสาวะลำบาก","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ราวๆ 1 สัปดาห์ก่อนหน้านี้มีอาการเยี่ยวไม่ออก","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เยี่ยวลำบากเริ่มราวๆ 3 สัปดาห์ก่อนหาหมอ","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปัสสาวะไม่ออก","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เมื่อ 8 เดือนมีอาการฉี่ลำบาก","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ฉี่ลำบากเริ่มราวๆ 6 วันจะมา","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เยี่ยวลำบาก","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ฉี่ลำบากมีอาการมาประมาณ 1 เดือน","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เยี่ยวไม่ออกเริ่มมีอาการมาราวๆ 7 อาทิตย์ก่อนพบแพทย์","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปัสสาวะขัดประมาณ 3 ชั่วโมง","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เมื่อ 6 เดือนก่อนหน้านี้มีอาการปัสสาวะลำบาก","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เยี่ยวลำบากเริ่มประมาณ 7 อาทิตย์","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","6 สัปดาห์ก่อนหน้านี้มีอาการปัสสาวะขัด","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เยี่ยวไม่ออก","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปัสสาวะลำบากมีอาการมาประมาณ 4 เดือน","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เมื่อ 1 อาทิตย์ก่อนมีอาการเยี่ยวลำบาก","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปัสสาวะลำบากน่าจะเมื่อประมาณ 3 เดือนก่อนจะมา","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","3 ชั่วโมงก่อนหน้านี้มีอาการเยี่ยวลำบาก","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เมื่อ 4 ชั่วโมงมีอาการเยี่ยวไม่ออก","HP0000016","ปัสสาวะไม่ออก", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","7 วันก่อนนี้มีอาการกลั้นเยี่ยวไม่ได้","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","กลั้นปัสสาวะไม่อยู่ราวๆ 4 เดือนมาโรงพยาบาล","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","กลั้นเยี่ยวไม่ได้เมื่อประมาณ 1 อาทิตย์ก่อนจะมา","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อั้นเยี่ยวไม่อยู่ประมาณ 1 เดือนก่อน","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","กลั้นฉี่ไม่ได้น่าจะเมื่อราวๆ 5 วันหาหมอ","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","กลั้นปัสสาวะไม่อยู่คาดว่าเมื่อประมาณ 2 เดือน","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ประมาณ 8 สัปดาห์ก่อนหน้านี้มีอาการอั้นฉี่ไม่ได้","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อั้นฉี่ไม่ได้น่าจะประมาณ 3 เดือน","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อั้นปัสสาวะไม่ได้เริ่มมีอาการมาประมาณ 5 วันจะมา","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","7 เดือนนี้มีอาการกลั้นปัสสาวะไม่ได้","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","4 เดือนนี้มีอาการอั้นเยี่ยวไม่ได้","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","กลั้นปัสสาวะไม่อยู่","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อั้นฉี่ไม่อยู่","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","กลั้นปัสสาวะไม่ได้เริ่มเป็นมาประมาณ 3 เดือนก่อนมา","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","กลั้นฉี่ไม่อยู่","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เมื่อ 5 เดือนก่อนมีอาการกลั้นฉี่ไม่อยู่","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อั้นฉี่ไม่อยู่เริ่มเป็นมาราวๆ 7 วันก่อนมา","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","กลั้นฉี่ไม่อยู่เมื่อราวๆ 7 อาทิตย์","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","กลั้นเยี่ยวไม่อยู่","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","7 สัปดาห์มีอาการกลั้นปัสสาวะไม่ได้","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อั้นเยี่ยวไม่ได้","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อั้นเยี่ยวไม่ได้ประมาณ 4 อาทิตย์พบแพทย์","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","6 ชั่วโมงก่อนหน้ามีอาการอั้นเยี่ยวไม่ได้","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","กลั้นปัสสาวะไม่ได้","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เมื่อ 9 ชั่วโมงนี้มีอาการกลั้นปัสสาวะไม่ได้","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อั้นเยี่ยวไม่อยู่คาดว่าเมื่อราวๆ 7 อาทิตย์ก่อนจะมามาโรงพยาบาล","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","7 ชั่วโมงมีอาการกลั้นฉี่ไม่อยู่","HP0000020","กลั้นปัสสาวะไม่ได้", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อยากปัสสาวะ่บ่อยมากๆ","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อยากปัสสาวะ่บ่อยมาก","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ชอบฉี่่บ่อยมากๆ","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปวดฉี่่บ่อย","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปัสสาวะ่บ่อยมากๆเป็นมาราวๆ 4 อาทิตย์มาพบแพทย์","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เมื่อ 4 วันก่อนหน้ามีอาการปวดปัสสาวะ่บ่อย","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
