clinic code,clinic name,symptoms,symptom code,main symptom, eng clinic
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ฉี่ลำบาก","HP0000016","ปัสสาวะไม่ออก","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ฉี่ขัด","HP0000016","ปัสสาวะไม่ออก","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เยี่ยวขัด","HP0000016","ปัสสาวะไม่ออก","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เยี่ยวลำบาก","HP0000016","ปัสสาวะไม่ออก","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปัสสาวะไม่ออก","HP0000016","ปัสสาวะไม่ออก","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปัสสาวะลำบาก","HP0000016","ปัสสาวะไม่ออก","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ฉี่ไม่ออก","HP0000016","ปัสสาวะไม่ออก","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เยี่ยวไม่ออก","HP0000016","ปัสสาวะไม่ออก","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปัสสาวะขัด","HP0000016","ปัสสาวะไม่ออก","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","กลั้นเยี่ยวไม่ได้","HP0000020","กลั้นปัสสาวะไม่ได้","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","กลั้นปัสสาวะไม่อยู่","HP0000020","กลั้นปัสสาวะไม่ได้","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อั้นฉี่ไม่อยู่","HP0000020","กลั้นปัสสาวะไม่ได้","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","กลั้นฉี่ไม่อยู่","HP0000020","กลั้นปัสสาวะไม่ได้","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","กลั้นฉี่ไม่ได้","HP0000020","กลั้นปัสสาวะไม่ได้","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อั้นเยี่ยวไม่ได้","HP0000020","กลั้นปัสสาวะไม่ได้","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","กลั้นปัสสาวะไม่ได้","HP0000020","กลั้นปัสสาวะไม่ได้","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อั้นฉี่ไม่ได้","HP0000020","กลั้นปัสสาวะไม่ได้","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อั้นปัสสาวะไม่ได้","HP0000020","กลั้นปัสสาวะไม่ได้","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","กลั้นเยี่ยวไม่อยู่","HP0000020","กลั้นปัสสาวะไม่ได้","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อั้นปัสสาวะไม่อยู่","HP0000020","กลั้นปัสสาวะไม่ได้","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อั้นเยี่ยวไม่อยู่","HP0000020","กลั้นปัสสาวะไม่ได้","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เยี่ยว่บ่อย","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อยากปัสสาวะ่บ่อย","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ฉี่่บ่อยมากๆ","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ชอบปัสสาวะ่บ่อยมาก","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อยากปัสสาวะ่บ่อยมาก","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ฉี่่บ่อย","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เยี่ยว่บ่อยมาก","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปวดเยี่ยว่บ่อยมาก","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อยากเยี่ยว่บ่อย","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ชอบฉี่่บ่อยมากๆ","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปวดเยี่ยว่บ่อย","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปวดฉี่่บ่อยมาก","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เยี่ยว่บ่อยมากๆ","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
